Årstal;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Bruttonationalprodukt, BNP;82,4;90,8;101,3;115,6;128,1;141,7;161,4;185,8;208;232,3;269;298,4;332,6;370,3;399,1;437,8;500,6;551,7;609,7;661,8;710;746,8;777,8;821;855,4;890,3;923,3;927,9;992,4;1035,6;1087,1;1144,2;1185,2;1241;1326;1372,3;1411,5;1438,9;1509,7;1590,1;1685,2;1743,1;1809,7;1729,5;1812,9;1848,5;1892,9;1935,6;1980,3;2030,2;2101,5;2189,6;2243,5;2303,6;2326,6;2567,5;2844,2;2804,7;2960,9
Bruttoværditilvækst ,Landbrug ;;;;;;;;;;;;;;;;;;;;;;;;;6279;6319;7122;5071;6044;6481;6905;6101;5634;6117;6918;7011;5545;5589;5717;5074;4742;5052;3475;3387;4599;6375;7757;6208;6147;4027;5922;6536;5504;7019;4999;3790;4740;3885;4769
